time,open,high,low,close,volume
2026-02-25 02:30:00+00:00,600.71,601.24,599.48,599.49,581.269
2026-02-25 02:35:00+00:00,599.49,600.29,599.48,599.57,330.97
2026-02-25 02:40:00+00:00,599.57,599.57,598.3,598.87,475.582
2026-02-25 02:45:00+00:00,598.88,599.4,598.75,599.09,378.877
2026-02-25 02:50:00+00:00,599.09,599.41,598.39,598.59,276.29
2026-02-25 02:55:00+00:00,598.6,598.75,597.67,598.21,403.439
2026-02-25 03:00:00+00:00,598.21,598.99,597.2,597.31,496.114
2026-02-25 03:05:00+00:00,597.32,598.38,596.96,597.31,457.585
2026-02-25 03:10:00+00:00,597.32,597.62,596.86,597.1,292.404
2026-02-25 03:15:00+00:00,597.1,597.29,594.35,594.53,1081.374
2026-02-25 03:20:00+00:00,594.53,595.28,593.58,594.12,750.544
2026-02-25 03:25:00+00:00,594.12,594.92,594.12,594.56,340.529
2026-02-25 03:30:00+00:00,594.56,594.91,593.6,594.29,772.436
2026-02-25 03:35:00+00:00,594.28,594.62,593.15,593.91,493.082
2026-02-25 03:40:00+00:00,593.91,594.56,593.68,594.38,383.448
2026-02-25 03:45:00+00:00,594.38,595.12,593.9,594.04,477.165
2026-02-25 03:50:00+00:00,594.05,594.6,593.68,594.11,199.878
2026-02-25 03:55:00+00:00,594.11,594.32,593.87,594.07,184.357
2026-02-25 04:00:00+00:00,594.07,594.17,591.0,591.95,1039.675
2026-02-25 04:05:00+00:00,591.96,593.24,591.95,592.56,700.076
2026-02-25 04:10:00+00:00,592.56,594.24,592.43,593.74,601.625
2026-02-25 04:15:00+00:00,593.74,594.91,593.1,594.6,512.219
2026-02-25 04:20:00+00:00,594.61,595.0,593.83,594.81,2020.909
2026-02-25 04:25:00+00:00,594.81,595.35,594.32,595.35,456.399
2026-02-25 04:30:00+00:00,595.36,595.74,595.35,595.44,579.746
2026-02-25 04:35:00+00:00,595.44,595.79,595.0,595.79,162.569
2026-02-25 04:40:00+00:00,595.79,596.4,595.79,596.14,185.836
2026-02-25 04:45:00+00:00,596.14,596.39,595.64,595.98,164.257
2026-02-25 04:50:00+00:00,595.97,595.98,595.34,595.6,238.185
2026-02-25 04:55:00+00:00,595.6,595.6,595.11,595.44,137.283
2026-02-25 05:00:00+00:00,595.44,595.56,594.64,595.35,503.997
2026-02-25 05:05:00+00:00,595.35,595.83,595.31,595.53,263.136
2026-02-25 05:10:00+00:00,595.54,595.64,594.08,595.01,787.107
2026-02-25 05:15:00+00:00,595.01,595.08,594.52,594.54,254.113
2026-02-25 05:20:00+00:00,594.54,594.63,592.38,592.77,372.317
2026-02-25 05:25:00+00:00,592.77,593.15,592.68,592.85,359.394
2026-02-25 05:30:00+00:00,592.85,593.28,591.42,591.43,713.885
2026-02-25 05:35:00+00:00,591.44,591.86,589.89,590.78,733.904
2026-02-25 05:40:00+00:00,590.78,591.24,590.14,590.9,377.774
2026-02-25 05:45:00+00:00,590.9,592.23,590.59,592.0,546.706
2026-02-25 05:50:00+00:00,591.99,592.09,591.79,591.82,306.013
2026-02-25 05:55:00+00:00,591.82,592.83,591.75,592.48,408.834
2026-02-25 06:00:00+00:00,592.47,593.13,592.4,592.81,161.277
2026-02-25 06:05:00+00:00,592.81,592.99,592.32,592.61,121.707
2026-02-25 06:10:00+00:00,592.62,592.86,592.5,592.76,150.562
2026-02-25 06:15:00+00:00,592.76,593.29,592.29,593.29,144.413
2026-02-25 06:20:00+00:00,593.29,594.74,593.29,594.43,598.669
2026-02-25 06:25:00+00:00,594.43,595.18,594.12,594.72,404.061
2026-02-25 06:30:00+00:00,594.71,595.24,594.24,594.92,263.034
2026-02-25 06:35:00+00:00,594.92,595.48,594.72,595.25,331.843
2026-02-25 06:40:00+00:00,595.25,595.41,595.14,595.15,90.24
2026-02-25 06:45:00+00:00,595.14,595.16,594.53,594.53,106.733
2026-02-25 06:50:00+00:00,594.52,594.52,593.16,593.35,441.09
2026-02-25 06:55:00+00:00,593.35,593.61,593.01,593.61,177.995
2026-02-25 07:00:00+00:00,593.61,594.34,593.58,594.27,151.223
2026-02-25 07:05:00+00:00,594.28,595.15,593.11,595.15,358.422
2026-02-25 07:10:00+00:00,595.15,595.74,594.82,595.54,191.396
2026-02-25 07:15:00+00:00,595.53,596.66,595.18,596.11,349.597
2026-02-25 07:20:00+00:00,596.11,596.11,594.95,595.01,568.558
2026-02-25 07:25:00+00:00,595.02,595.64,594.82,595.42,257.244
2026-02-25 07:30:00+00:00,595.42,596.37,595.42,596.22,1656.798
2026-02-25 07:35:00+00:00,596.21,596.22,595.15,595.16,193.346
2026-02-25 07:40:00+00:00,595.15,595.36,594.05,594.38,309.444
2026-02-25 07:45:00+00:00,594.38,594.58,594.23,594.51,159.294
2026-02-25 07:50:00+00:00,594.52,595.6,594.52,595.43,309.309
2026-02-25 07:55:00+00:00,595.42,596.1,595.29,596.09,183.115
2026-02-25 08:00:00+00:00,596.1,596.4,595.86,596.32,308.606
2026-02-25 08:05:00+00:00,596.33,597.73,596.33,597.37,705.574
2026-02-25 08:10:00+00:00,597.38,597.55,597.07,597.43,472.16
2026-02-25 08:15:00+00:00,597.42,598.61,597.4,598.52,657.093
2026-02-25 08:20:00+00:00,598.52,599.42,598.27,599.2,593.512
2026-02-25 08:25:00+00:00,599.2,599.32,598.26,598.56,281.923
2026-02-25 08:30:00+00:00,598.55,598.88,598.32,598.85,233.331
2026-02-25 08:35:00+00:00,598.84,599.92,598.56,599.36,458.185
2026-02-25 08:40:00+00:00,599.35,600.03,599.18,600.02,476.941
2026-02-25 08:45:00+00:00,600.02,600.36,599.35,599.5,650.303
2026-02-25 08:50:00+00:00,599.49,600.68,599.41,600.67,579.16
2026-02-25 08:55:00+00:00,600.67,600.67,599.93,600.31,245.364
2026-02-25 09:00:00+00:00,600.31,601.53,600.16,601.52,490.131
2026-02-25 09:05:00+00:00,601.53,601.65,600.02,601.14,858.605
2026-02-25 09:10:00+00:00,601.13,603.0,601.13,601.76,724.365
2026-02-25 09:15:00+00:00,601.77,602.2,601.29,602.2,297.489
