time,open,high,low,close
2026-03-31 17:10:00+00:00,2090.67,2116.42,2090.04,2114.16
2026-03-31 17:15:00+00:00,2114.16,2119.0,2108.09,2111.86
2026-03-31 17:20:00+00:00,2111.85,2124.03,2108.59,2118.76
2026-03-31 17:25:00+00:00,2118.76,2120.96,2107.43,2108.08
2026-03-31 17:30:00+00:00,2108.07,2113.98,2105.13,2112.46
2026-03-31 17:35:00+00:00,2112.46,2113.74,2100.02,2104.56
2026-03-31 17:40:00+00:00,2104.57,2105.12,2094.5,2099.33
2026-03-31 17:45:00+00:00,2099.32,2103.15,2095.0,2099.33
2026-03-31 17:50:00+00:00,2099.34,2100.84,2093.51,2097.78
2026-03-31 17:55:00+00:00,2097.78,2098.08,2090.22,2093.36
2026-03-31 18:00:00+00:00,2093.35,2099.33,2093.35,2098.56
2026-03-31 18:05:00+00:00,2098.55,2107.72,2098.09,2105.19
2026-03-31 18:10:00+00:00,2105.19,2108.45,2104.0,2108.01
2026-03-31 18:15:00+00:00,2108.0,2115.14,2102.41,2102.83
2026-03-31 18:20:00+00:00,2102.83,2105.16,2102.54,2102.83
2026-03-31 18:25:00+00:00,2102.83,2105.12,2096.84,2102.43
2026-03-31 18:30:00+00:00,2102.43,2104.01,2098.01,2100.24
2026-03-31 18:35:00+00:00,2100.23,2106.15,2098.48,2103.93
2026-03-31 18:40:00+00:00,2103.92,2103.92,2099.04,2100.49
2026-03-31 18:45:00+00:00,2100.49,2103.99,2099.34,2100.54
2026-03-31 18:50:00+00:00,2100.53,2101.94,2096.93,2097.99
2026-03-31 18:55:00+00:00,2097.98,2100.44,2097.0,2099.89
2026-03-31 19:00:00+00:00,2099.88,2103.72,2098.73,2101.11
2026-03-31 19:05:00+00:00,2101.1,2102.82,2097.98,2098.27
2026-03-31 19:10:00+00:00,2098.27,2104.0,2098.27,2101.76
2026-03-31 19:15:00+00:00,2101.75,2104.0,2099.09,2100.63
2026-03-31 19:20:00+00:00,2100.62,2100.88,2098.42,2100.14
2026-03-31 19:25:00+00:00,2100.15,2100.29,2096.64,2098.21
2026-03-31 19:30:00+00:00,2098.21,2100.2,2097.5,2098.23
2026-03-31 19:35:00+00:00,2098.22,2099.84,2093.42,2093.97
2026-03-31 19:40:00+00:00,2093.96,2096.49,2092.23,2096.36
2026-03-31 19:45:00+00:00,2096.36,2099.65,2095.77,2097.74
2026-03-31 19:50:00+00:00,2097.74,2099.54,2093.56,2095.78
2026-03-31 19:55:00+00:00,2095.78,2097.76,2092.73,2096.54
2026-03-31 20:00:00+00:00,2096.54,2099.58,2096.32,2098.51
2026-03-31 20:05:00+00:00,2098.51,2104.77,2098.18,2103.14
2026-03-31 20:10:00+00:00,2103.14,2106.58,2102.35,2106.03
2026-03-31 20:15:00+00:00,2106.03,2106.88,2102.61,2103.36
2026-03-31 20:20:00+00:00,2103.37,2105.13,2101.98,2104.39
2026-03-31 20:25:00+00:00,2104.39,2104.4,2102.1,2103.71
2026-03-31 20:30:00+00:00,2103.71,2104.67,2101.52,2101.53
2026-03-31 20:35:00+00:00,2101.54,2107.9,2101.54,2106.72
2026-03-31 20:40:00+00:00,2106.71,2106.71,2103.93,2104.61
2026-03-31 20:45:00+00:00,2104.61,2111.01,2103.09,2107.21
2026-03-31 20:50:00+00:00,2107.21,2107.73,2104.95,2106.92
2026-03-31 20:55:00+00:00,2106.91,2107.75,2105.9,2107.66
2026-03-31 21:00:00+00:00,2107.66,2107.68,2097.05,2099.15
2026-03-31 21:05:00+00:00,2099.16,2101.22,2095.29,2096.68
2026-03-31 21:10:00+00:00,2096.68,2097.9,2096.29,2097.37
2026-03-31 21:15:00+00:00,2097.38,2098.21,2095.34,2096.9
2026-03-31 21:20:00+00:00,2096.91,2097.47,2093.12,2096.94
2026-03-31 21:25:00+00:00,2096.95,2100.58,2096.95,2100.1
2026-03-31 21:30:00+00:00,2100.11,2103.74,2099.32,2101.52
2026-03-31 21:35:00+00:00,2101.52,2102.22,2100.01,2100.81
2026-03-31 21:40:00+00:00,2100.8,2102.46,2099.54,2101.35
2026-03-31 21:45:00+00:00,2101.36,2103.58,2099.47,2103.58
2026-03-31 21:50:00+00:00,2103.57,2106.88,2101.63,2106.21
2026-03-31 21:55:00+00:00,2106.21,2109.03,2101.46,2102.63
2026-03-31 22:00:00+00:00,2102.64,2104.27,2098.37,2099.03
2026-03-31 22:05:00+00:00,2099.04,2099.7,2094.07,2095.45
2026-03-31 22:10:00+00:00,2095.45,2100.17,2095.45,2100.1
2026-03-31 22:15:00+00:00,2100.09,2102.13,2099.33,2100.07
2026-03-31 22:20:00+00:00,2100.08,2102.0,2098.37,2099.11
2026-03-31 22:25:00+00:00,2099.1,2099.78,2096.96,2096.96
2026-03-31 22:30:00+00:00,2096.95,2096.95,2088.35,2091.28
2026-03-31 22:35:00+00:00,2091.28,2093.08,2090.34,2092.56
2026-03-31 22:40:00+00:00,2092.53,2099.79,2092.31,2097.4
2026-03-31 22:45:00+00:00,2097.4,2097.41,2094.35,2095.87
2026-03-31 22:50:00+00:00,2095.87,2096.38,2093.59,2095.64
2026-03-31 22:55:00+00:00,2095.65,2097.16,2094.98,2096.51
2026-03-31 23:00:00+00:00,2096.52,2096.85,2093.21,2094.3
2026-03-31 23:05:00+00:00,2094.3,2100.09,2094.3,2099.25
2026-03-31 23:10:00+00:00,2099.25,2100.2,2096.38,2096.84
2026-03-31 23:15:00+00:00,2096.84,2106.09,2095.23,2103.61
2026-03-31 23:20:00+00:00,2103.62,2104.83,2099.16,2099.61
2026-03-31 23:25:00+00:00,2099.61,2101.47,2098.12,2100.51
2026-03-31 23:30:00+00:00,2100.5,2103.36,2100.09,2102.61
2026-03-31 23:35:00+00:00,2102.61,2105.62,2101.85,2105.58
2026-03-31 23:40:00+00:00,2105.6,2105.6,2103.8,2105.12
2026-03-31 23:45:00+00:00,2105.13,2105.13,2101.06,2102.4
2026-03-31 23:50:00+00:00,2102.41,2108.66,2102.41,2105.24
2026-03-31 23:55:00+00:00,2105.24,2107.99,2104.4,2105.43
2026-04-01 00:00:00+00:00,2105.43,2106.88,2100.57,2104.59
2026-04-01 00:05:00+00:00,2104.6,2106.88,2102.69,2105.13
2026-04-01 00:10:00+00:00,2105.12,2105.12,2101.49,2102.25
2026-04-01 00:15:00+00:00,2102.26,2107.85,2102.26,2104.09
2026-04-01 00:20:00+00:00,2104.1,2105.55,2097.32,2100.0
2026-04-01 00:25:00+00:00,2100.0,2101.25,2099.03,2101.25
2026-04-01 00:30:00+00:00,2101.26,2102.83,2096.89,2098.31
2026-04-01 00:35:00+00:00,2098.32,2100.4,2098.21,2099.57
2026-04-01 00:40:00+00:00,2099.57,2103.52,2099.57,2103.51
2026-04-01 00:45:00+00:00,2103.51,2103.97,2100.57,2103.82
2026-04-01 00:50:00+00:00,2103.81,2117.79,2103.81,2113.14
2026-04-01 00:55:00+00:00,2113.14,2115.29,2110.63,2114.72
2026-04-01 01:00:00+00:00,2114.73,2115.83,2108.63,2110.7
2026-04-01 01:05:00+00:00,2110.7,2110.7,2104.74,2107.53
2026-04-01 01:10:00+00:00,2107.54,2108.88,2106.54,2107.41
2026-04-01 01:15:00+00:00,2107.42,2107.42,2101.55,2101.74
2026-04-01 01:20:00+00:00,2101.74,2102.71,2099.85,2101.3
2026-04-01 01:25:00+00:00,2101.31,2101.87,2099.87,2099.87
2026-04-01 01:30:00+00:00,2099.88,2102.48,2094.54,2096.19
2026-04-01 01:35:00+00:00,2096.17,2097.41,2091.4,2094.57
2026-04-01 01:40:00+00:00,2094.57,2096.72,2093.09,2096.72
2026-04-01 01:45:00+00:00,2096.73,2096.94,2092.18,2092.95
2026-04-01 01:50:00+00:00,2092.95,2097.25,2092.94,2094.77
2026-04-01 01:55:00+00:00,2094.78,2096.5,2092.24,2092.95
2026-04-01 02:00:00+00:00,2092.94,2096.38,2092.84,2095.57
2026-04-01 02:05:00+00:00,2095.57,2096.37,2093.25,2094.82
2026-04-01 02:10:00+00:00,2094.83,2095.75,2088.7,2092.56
2026-04-01 02:15:00+00:00,2092.55,2096.0,2090.26,2094.71
2026-04-01 02:20:00+00:00,2094.7,2095.36,2092.23,2093.31
2026-04-01 02:25:00+00:00,2093.3,2093.31,2082.08,2085.52
2026-04-01 02:30:00+00:00,2085.53,2087.99,2082.8,2084.05
2026-04-01 02:35:00+00:00,2084.06,2090.8,2084.06,2087.75
2026-04-01 02:40:00+00:00,2087.75,2090.08,2087.75,2088.17
2026-04-01 02:45:00+00:00,2088.17,2091.47,2086.35,2088.01
2026-04-01 02:50:00+00:00,2088.01,2090.21,2087.71,2089.69
2026-04-01 02:55:00+00:00,2089.7,2089.9,2087.58,2088.45
2026-04-01 03:00:00+00:00,2088.46,2093.49,2088.46,2092.23
2026-04-01 03:05:00+00:00,2092.23,2106.88,2091.89,2104.54
2026-04-01 03:10:00+00:00,2104.54,2104.54,2100.99,2101.24
2026-04-01 03:15:00+00:00,2101.24,2102.64,2099.99,2101.07
2026-04-01 03:20:00+00:00,2101.06,2101.06,2097.76,2098.31
2026-04-01 03:25:00+00:00,2098.31,2098.56,2096.86,2098.46
2026-04-01 03:30:00+00:00,2098.47,2100.62,2097.15,2097.15
2026-04-01 03:35:00+00:00,2097.15,2097.97,2095.63,2097.77
2026-04-01 03:40:00+00:00,2097.77,2101.53,2097.15,2100.72
2026-04-01 03:45:00+00:00,2100.72,2106.88,2100.72,2103.84
2026-04-01 03:50:00+00:00,2103.84,2104.12,2100.84,2102.46
2026-04-01 03:55:00+00:00,2102.46,2103.69,2101.52,2102.91
2026-04-01 04:00:00+00:00,2102.91,2105.13,2102.27,2102.28
2026-04-01 04:05:00+00:00,2102.27,2103.46,2100.35,2102.87
2026-04-01 04:10:00+00:00,2102.87,2103.26,2100.42,2101.83
2026-04-01 04:15:00+00:00,2101.82,2106.65,2100.72,2106.41
2026-04-01 04:20:00+00:00,2106.41,2110.65,2105.37,2107.92
2026-04-01 04:25:00+00:00,2107.92,2110.6,2107.92,2110.29
2026-04-01 04:30:00+00:00,2110.28,2110.77,2107.94,2110.15
2026-04-01 04:35:00+00:00,2110.14,2111.93,2108.0,2109.65
2026-04-01 04:40:00+00:00,2109.65,2111.91,2109.22,2109.95
2026-04-01 04:45:00+00:00,2109.95,2113.94,2109.06,2112.48
2026-04-01 04:50:00+00:00,2112.47,2116.46,2112.04,2112.37
2026-04-01 04:55:00+00:00,2112.37,2112.45,2109.4,2111.26
2026-04-01 05:00:00+00:00,2111.26,2111.81,2106.42,2106.98
2026-04-01 05:05:00+00:00,2106.97,2110.29,2106.5,2109.98
2026-04-01 05:10:00+00:00,2109.98,2115.29,2108.7,2113.65
